Customer_Age,Annual_Income,Website_Visits,Avg_Session_Minutes,Pages_Viewed,Cart_Value,Discount_Percent,Membership_Level,Device_Type,Purchased
22,74994.36,14,6.35,15,70.49,5,Silver,Mobile,0
55,42363.02,15,9.55,32,258.77,5,Gold,Mobile,1
49,55545.94,5,12.04,6,236.55,30,Basic,Mobile,0
39,97480.71,13,9.92,37,131.52,5,Basic,Mobile,1
38,56093.4,19,11.12,35,112.04,15,Gold,Mobile,1
59,83437.89,7,6.18,13,177.84,30,Basic,Desktop,1
22,41659.56,11,8.28,19,57.04,30,Silver,Desktop,0
51,59864.06,12,9.79,33,158.05,5,Silver,Mobile,1
27,41249.45,16,12.28,22,130.41,0,Basic,Mobile,0
22,56524.17,11,7.43,26,77.0,5,Basic,Mobile,0
43,86007.7,23,11.08,53,133.85,0,Basic,Tablet,0
64,21816.99,10,7.94,23,253.66,5,Basic,Mobile,1
53,75860.59,14,8.53,29,21.76,15,Basic,Desktop,0
54,70943.39,12,12.32,15,43.47,30,Basic,Mobile,1
52,50146.25,6,1.03,13,83.43,15,Silver,Desktop,0
55,28848.55,21,3.81,27,156.63,20,Gold,Mobile,1
42,66803.24,8,3.07,15,128.29,5,Gold,Desktop,1
24,51762.68,9,1.0,20,156.27,25,Basic,Mobile,0
58,70816.91,24,6.29,46,77.64,20,Basic,Tablet,0
39,65546.3,29,12.0,63,105.4,25,Basic,Mobile,0
42,105044.47,21,7.86,52,202.98,30,Basic,Desktop,1
35,59016.11,28,9.79,60,118.67,10,Gold,Desktop,1
26,39412.56,26,13.36,57,143.61,0,Basic,Tablet,0
62,69481.89,15,14.31,17,102.56,5,Basic,Mobile,0
55,70499.92,24,8.72,30,66.2,15,Gold,Mobile,1
48,98979.69,10,14.41,19,162.45,30,Basic,Mobile,1
37,85877.78,14,9.37,36,194.62,10,Basic,Mobile,1
57,73921.78,17,5.65,15,110.52,20,Basic,Desktop,0
44,101582.57,29,6.62,53,50.69,15,Silver,Tablet,1
39,35280.92,26,3.08,55,149.08,5,Silver,Tablet,0
39,49006.21,15,5.45,11,139.18,10,Basic,Mobile,1
28,41835.6,20,7.57,31,88.08,20,Gold,Desktop,0
22,55254.75,7,12.21,25,417.81,20,Gold,Desktop,1
44,30582.85,25,15.88,47,257.76,15,Gold,Tablet,1
60,80878.77,17,3.47,15,136.77,5,Basic,Mobile,1
21,59444.43,16,10.57,32,139.84,20,Basic,Mobile,1
59,28229.84,23,4.84,35,255.28,5,Gold,Desktop,0
57,39610.52,19,10.9,46,213.41,30,Basic,Mobile,1
31,72837.85,3,8.48,6,98.21,5,Silver,Mobile,0
48,85953.16,9,1.68,24,140.8,0,Silver,Tablet,0
25,114918.27,6,12.71,2,96.96,15,Basic,Tablet,1
54,137846.56,23,6.58,34,39.62,15,Silver,Tablet,1
51,75360.24,2,6.86,14,23.46,15,Gold,Desktop,1
35,40261.55,7,4.72,6,120.67,15,Silver,Mobile,0
21,18000.0,18,6.38,18,252.7,30,Basic,Mobile,0
64,71692.79,21,10.71,29,91.72,15,Gold,Mobile,1
39,44676.47,16,8.24,32,107.39,15,Silver,Mobile,0
60,54616.07,26,10.31,58,74.94,10,Silver,Mobile,1
50,49697.58,28,10.45,79,24.87,0,Gold,Desktop,0
55,61480.23,4,14.28,16,83.25,15,Silver,Mobile,0
54,91649.51,29,7.63,45,103.31,5,Basic,Desktop,1
27,68926.21,19,3.09,30,116.83,20,Basic,Mobile,0
35,61034.13,20,13.27,39,225.13,0,Basic,Mobile,0
40,39108.66,3,7.67,18,144.49,30,Silver,Mobile,1
41,23132.93,19,13.46,40,227.13,15,Silver,Mobile,1
20,52842.3,22,10.53,43,156.07,25,Silver,Desktop,1
44,63655.44,18,8.48,31,146.88,15,Basic,Mobile,0
25,109198.25,3,10.4,23,164.84,0,Silver,Mobile,0
53,68256.86,16,16.8,33,53.78,25,Gold,Desktop,1
50,89568.49,29,17.31,30,179.63,20,Basic,Mobile,1
62,52517.61,22,9.28,38,83.58,25,Silver,Mobile,1
53,35376.41,5,9.64,6,85.64,10,Silver,Mobile,0
35,40872.08,29,13.3,34,108.72,20,Silver,Mobile,0
64,46869.35,29,5.62,31,77.84,25,Basic,Desktop,1
37,118211.74,6,10.33,13,44.86,20,Silver,Mobile,1
33,44465.33,25,8.9,51,102.9,10,Gold,Mobile,1
61,85962.23,13,10.26,21,85.95,20,Silver,Mobile,1
35,42426.82,18,5.67,32,83.67,20,Gold,Desktop,1
21,88289.33,14,2.64,39,95.45,30,Gold,Mobile,1
40,74623.77,24,1.0,45,11.95,10,Basic,Desktop,0
56,61084.05,30,4.53,57,84.14,10,Silver,Mobile,1
27,63980.94,24,7.17,30,245.43,25,Basic,Desktop,1
40,48630.31,28,7.83,62,233.11,15,Gold,Mobile,0
