Customer_Age,Annual_Income,Website_Visits_Per_Month,Average_Session_Minutes,Previous_Purchases,Discount_Used_Percent,Days_Since_Last_Purchase,Device_Type,Membership_Level,Preferred_Category,Region,Purchase_Amount,High_Value_Customer
22,67926.22,14,17.3,6,23,66.2,Mobile,Gold,Electronics,West,448.82,No
55,31329.98,17,23.58,11,21,60.1,Desktop,Silver,Electronics,North,642.14,Yes
49,37725.0,17,10.18,11,22,31.5,Mobile,Silver,Fashion,East,465.87,Yes
39,116843.44,9,7.1,11,3,20.3,Desktop,Silver,Electronics,North,625.71,Yes
38,41676.7,17,9.03,15,37,32.6,Mobile,Silver,Sports,North,609.16,Yes
59,45870.72,19,17.3,8,40,6.9,Mobile,Basic,Home,East,441.99,Yes
22,110412.1,11,16.49,12,24,21.9,Mobile,Basic,Electronics,West,686.55,Yes
51,133911.48,11,14.51,9,0,74.2,Desktop,Basic,Beauty,North,485.78,No
27,44225.53,14,8.39,9,16,32.5,Mobile,Basic,Fashion,North,303.0,No
22,61898.52,12,17.83,10,29,43.8,Mobile,Basic,Fashion,South,461.45,Yes
43,77514.22,7,7.88,6,30,10.4,Mobile,Basic,Home,West,308.1,No
64,108031.35,11,19.79,9,9,65.9,Desktop,Gold,Electronics,North,655.61,Yes
53,48289.14,9,28.29,4,33,30.3,Mobile,Silver,Fashion,North,581.13,Yes
54,64603.89,15,15.83,8,39,42.8,Desktop,Basic,Beauty,South,372.28,No
52,87101.43,11,16.92,6,20,49.4,Desktop,Gold,Sports,South,522.51,No
55,79564.85,14,11.54,12,15,64.3,Mobile,Platinum,Fashion,North,681.27,Yes
42,61724.57,9,4.95,10,21,38.4,Tablet,Gold,Home,East,477.8,Yes
24,67055.89,9,10.99,7,1,30.9,Desktop,Gold,Electronics,East,422.07,No
58,39752.29,14,8.54,9,21,12.6,Mobile,Platinum,Home,North,459.73,Yes
39,64760.18,13,6.76,12,1,9.5,Mobile,Silver,Fashion,East,484.96,Yes
42,64139.48,10,22.61,5,1,37.8,Mobile,Platinum,Home,North,499.28,No
35,75107.74,14,15.36,5,22,43.0,Mobile,Platinum,Electronics,East,532.9,Yes
26,57782.8,10,15.9,10,20,48.0,Mobile,Basic,Sports,South,501.09,No
62,80373.85,10,12.45,11,40,17.5,Tablet,Gold,Sports,North,582.13,Yes
55,92279.75,13,13.14,7,20,22.0,Desktop,Gold,Fashion,North,494.56,Yes
48,73419.45,15,18.82,13,40,37.4,Mobile,Gold,Beauty,West,676.91,Yes
37,77738.64,14,13.84,7,33,24.2,Mobile,Gold,Electronics,East,521.44,Yes
57,71169.42,13,16.65,4,13,140.7,Mobile,Basic,Beauty,East,227.89,No
44,70001.86,16,13.02,4,37,21.7,Mobile,Basic,Fashion,North,300.75,No
39,54125.72,12,12.29,5,19,45.1,Mobile,Silver,Electronics,North,333.6,No
39,76962.87,18,6.97,3,24,58.9,Tablet,Gold,Home,North,295.66,No
28,67859.69,15,4.11,9,4,61.3,Desktop,Gold,Fashion,South,366.65,No
22,116049.7,22,12.69,10,8,23.9,Mobile,Gold,Home,South,650.9,Yes
44,104613.81,19,14.28,7,21,49.5,Desktop,Gold,Home,West,440.86,No
60,78488.62,13,7.57,5,11,45.5,Mobile,Platinum,Electronics,West,434.51,Yes
21,53212.74,18,13.83,12,24,51.0,Desktop,Basic,Electronics,South,559.35,Yes
59,45526.95,13,14.27,5,3,37.0,Mobile,Platinum,Home,South,482.75,Yes
57,96205.14,15,3.22,10,10,59.2,Mobile,Basic,Home,South,459.08,No
31,75780.48,14,9.42,3,27,40.2,Desktop,Silver,Electronics,East,360.05,No
48,80563.15,16,16.04,9,25,11.3,Mobile,Basic,Fashion,East,442.18,Yes
25,31619.11,10,15.94,12,40,39.3,Desktop,Silver,Home,East,547.37,Yes
54,90403.65,12,8.23,4,36,42.6,Mobile,Basic,Home,North,208.75,No
51,79997.25,18,14.79,10,33,56.4,Desktop,Basic,Beauty,South,514.87,Yes
35,45570.52,11,19.11,8,0,37.9,Desktop,Silver,Fashion,West,480.2,No
21,59626.45,14,17.89,7,24,99.7,Mobile,Gold,Home,South,369.19,No
64,75801.78,13,13.52,9,9,31.6,Mobile,Basic,Home,North,396.92,No
39,71154.27,12,11.66,7,10,23.0,Desktop,Silver,Fashion,North,378.34,No
60,63572.23,8,10.85,5,8,80.5,Mobile,Basic,Electronics,North,257.86,No
50,67723.26,15,16.34,12,18,31.0,Mobile,Basic,Electronics,West,684.97,Yes
55,64456.5,21,14.98,9,5,35.4,Desktop,Basic,Beauty,North,405.61,No
54,73356.38,8,17.15,8,21,42.6,Mobile,Silver,Electronics,East,473.2,No
27,102372.82,18,14.66,11,6,40.2,Desktop,Gold,Home,South,647.66,Yes
35,18000.0,10,18.09,12,20,50.7,Mobile,Silver,Home,North,521.73,No
40,64789.29,13,14.47,5,25,54.3,Desktop,Gold,Fashion,West,406.67,No
41,73883.27,10,17.92,12,7,21.4,Mobile,Silver,Beauty,East,557.67,Yes
20,76511.87,15,18.35,6,4,13.5,Mobile,Gold,Home,West,505.57,Yes
44,61817.88,8,9.98,6,33,15.0,Mobile,Platinum,Electronics,West,433.51,Yes
25,31352.12,11,4.96,8,30,74.9,Tablet,Basic,Beauty,West,163.89,No
53,77215.9,21,21.72,9,10,29.2,Desktop,Basic,Home,East,590.09,Yes
50,108001.7,8,15.28,2,36,58.5,Desktop,Basic,Fashion,East,348.9,No
62,36255.05,13,5.43,5,9,55.2,Mobile,Silver,Beauty,East,169.67,No
53,89004.22,17,10.43,9,37,35.4,Mobile,Silver,Home,South,419.98,No
35,62772.45,13,17.86,8,4,17.3,Desktop,Basic,Fashion,North,442.02,No
64,68650.86,10,12.6,5,27,56.1,Desktop,Gold,Sports,South,360.63,No
37,46836.23,17,11.44,4,0,34.6,Mobile,Platinum,Home,South,360.59,No
33,62641.96,16,21.0,4,8,12.8,Desktop,Basic,Home,North,499.22,Yes
61,98600.98,12,8.76,11,16,24.4,Mobile,Basic,Electronics,West,593.2,Yes
35,82818.42,8,10.01,3,3,8.8,Mobile,Basic,Fashion,West,255.05,No
21,108110.86,17,15.06,6,18,25.3,Tablet,Basic,Fashion,South,432.99,No
40,95903.06,12,15.95,4,9,36.8,Mobile,Gold,Home,South,435.39,No
56,79659.91,10,16.48,10,4,32.0,Mobile,Silver,Home,West,531.49,Yes
27,108366.56,11,18.56,4,39,29.3,Mobile,Basic,Beauty,South,403.61,No
40,79657.85,10,14.99,9,40,36.5,Tablet,Silver,Fashion,East,475.83,No
24,88215.74,13,16.45,8,39,48.7,Mobile,Basic,Beauty,East,446.31,No
50,63475.44,13,12.7,5,6,61.6,Desktop,Basic,Beauty,South,355.28,No
40,71464.01,12,14.31,6,15,67.1,Mobile,Basic,Beauty,West,303.79,No
33,54656.68,9,14.54,11,13,19.5,Mobile,Silver,Beauty,North,450.3,Yes
28,91770.85,10,15.08,4,13,71.4,Mobile,Silver,Sports,North,341.48,No
45,44077.32,19,17.86,9,17,34.6,Mobile,Gold,Electronics,East,556.06,Yes
50,87211.71,14,16.78,9,20,27.0,Mobile,Basic,Home,East,446.52,Yes
63,65805.68,12,14.22,2,19,15.3,Mobile,Gold,Sports,West,351.2,No
38,95767.44,13,9.95,7,11,2.6,Desktop,Basic,Home,East,420.13,No
25,86519.12,19,14.34,4,40,46.4,Mobile,Basic,Electronics,North,483.17,Yes
57,110054.22,16,13.86,11,40,45.2,Desktop,Gold,Sports,West,609.15,Yes
48,86077.04,12,14.97,9,13,22.7,Desktop,Silver,Electronics,South,587.95,Yes
51,35415.11,11,25.03,7,9,23.2,Mobile,Basic,Fashion,North,484.62,No
22,68527.03,12,11.38,4,21,31.2,Mobile,Silver,Electronics,East,291.53,No
32,44215.84,9,16.11,11,15,26.6,Mobile,Gold,Fashion,North,521.99,Yes
54,58597.84,12,19.34,5,40,18.8,Mobile,Platinum,Fashion,South,533.12,Yes
57,103247.03,11,14.49,6,17,13.9,Mobile,Silver,Fashion,South,422.05,No
38,84025.74,13,25.69,12,1,71.9,Mobile,Basic,Sports,North,748.4,Yes
56,54623.53,14,12.11,6,5,24.3,Mobile,Silver,Fashion,West,354.65,No
58,47698.22,21,15.62,10,3,45.1,Mobile,Basic,Home,East,470.57,Yes
36,70721.21,9,10.01,6,15,51.1,Tablet,Basic,Sports,West,291.42,No
61,43235.68,17,12.24,10,12,46.6,Desktop,Silver,Beauty,South,479.31,No
31,55234.91,12,15.24,8,35,53.0,Mobile,Gold,Electronics,East,417.67,No
29,76864.21,13,18.23,6,36,46.2,Mobile,Basic,Electronics,West,429.69,No
50,95416.86,12,15.6,6,5,21.1,Desktop,Gold,Home,North,454.66,No
48,83392.75,12,20.3,7,38,27.7,Mobile,Gold,Beauty,West,559.95,Yes
24,19591.63,15,13.53,6,23,70.7,Mobile,Gold,Home,North,360.39,No
57,76696.07,18,12.34,14,12,23.8,Desktop,Basic,Electronics,West,653.08,Yes
27,71584.74,15,27.52,8,16,34.7,Mobile,Basic,Beauty,East,659.74,Yes
56,79105.59,12,15.97,10,18,48.8,Mobile,Basic,Home,East,454.55,Yes
18,105556.61,8,10.4,17,6,87.5,Mobile,Basic,Home,North,592.6,Yes
56,24608.76,15,10.53,6,35,66.6,Desktop,Basic,Sports,East,219.12,No
55,56995.72,15,9.29,3,0,16.7,Tablet,Basic,Beauty,East,239.93,No
55,82999.94,11,18.68,7,2,44.1,Desktop,Basic,Home,West,470.72,No
49,35204.92,10,12.18,11,11,40.7,Mobile,Basic,Home,West,512.15,No
40,102470.88,8,14.64,13,5,27.9,Mobile,Platinum,Home,South,855.53,Yes
51,78103.85,8,13.68,9,2,35.4,Desktop,Gold,Home,South,590.37,Yes
31,88624.85,10,17.66,11,15,20.9,Desktop,Basic,Fashion,South,625.89,Yes
55,57439.24,14,9.77,6,15,30.8,Tablet,Platinum,Beauty,South,349.06,No
44,87902.8,14,8.62,10,5,23.9,Desktop,Basic,Home,North,430.72,No
40,93506.37,15,15.12,6,33,37.3,Mobile,Basic,Fashion,North,260.33,No
42,75123.32,12,17.0,11,36,27.2,Desktop,Gold,Electronics,West,638.44,Yes
45,75156.82,14,15.66,10,29,91.7,Desktop,Silver,Beauty,South,453.77,No
19,75947.55,11,9.95,7,21,38.1,Desktop,Basic,Home,South,319.42,No
24,51006.4,13,17.39,7,38,33.2,Desktop,Basic,Fashion,East,354.42,No
29,66754.37,11,10.28,4,14,29.6,Mobile,Silver,Fashion,East,285.7,No
23,66644.5,16,11.39,8,17,27.2,Desktop,Silver,Fashion,South,443.72,No
39,78434.67,12,9.28,7,0,12.8,Mobile,Basic,Sports,West,337.95,No
50,91996.13,14,20.51,7,29,58.4,Mobile,Silver,Sports,North,477.27,No
49,46712.21,10,17.17,7,3,80.6,Desktop,Basic,Home,South,412.27,No
40,67249.8,12,17.02,6,27,23.6,Tablet,Silver,Fashion,North,411.61,No
59,102592.02,9,20.24,4,32,70.4,Desktop,Basic,Beauty,East,373.62,No
45,53641.06,11,28.06,7,8,139.8,Mobile,Gold,Home,North,555.23,No
21,51910.5,17,5.45,23,25,109.2,Mobile,Gold,Sports,West,989.17,Yes
54,74450.74,16,10.31,9,12,78.3,Mobile,Basic,Electronics,East,395.43,No
45,88576.47,9,10.92,6,16,14.2,Desktop,Gold,Electronics,North,599.87,Yes
48,70251.37,12,9.75,8,21,14.1,Desktop,Basic,Home,East,355.42,No
45,99237.13,19,8.61,5,10,52.8,Tablet,Basic,Electronics,South,403.02,No
44,88849.47,7,12.5,14,32,34.9,Mobile,Silver,Home,East,659.38,Yes
22,88520.04,16,7.92,10,16,5.5,Mobile,Silver,Beauty,North,404.77,No
44,82190.56,18,15.68,6,18,25.7,Desktop,Gold,Electronics,East,645.19,Yes
56,121208.37,9,14.26,3,33,51.3,Mobile,Platinum,Fashion,North,444.08,Yes
32,65486.44,13,16.41,4,9,31.1,Tablet,Basic,Home,North,349.69,No
46,25922.51,15,16.54,8,18,35.0,Desktop,Basic,Beauty,East,385.74,No
19,105293.6,13,17.02,9,40,14.0,Mobile,Silver,Fashion,East,557.97,Yes
34,59930.61,11,12.13,10,16,25.5,Mobile,Basic,Electronics,South,494.73,No
38,72373.37,12,24.61,12,4,53.0,Desktop,Basic,Home,North,695.9,Yes
65,98810.12,15,15.17,8,11,24.6,Desktop,Platinum,Fashion,South,590.41,Yes
28,34750.29,17,4.69,7,39,74.1,Desktop,Gold,Beauty,West,308.59,No
31,42463.76,11,8.99,5,31,35.6,Desktop,Platinum,Home,East,381.84,No
37,34771.89,16,5.3,4,33,46.3,Mobile,Basic,Fashion,North,138.31,No
65,52529.0,18,14.09,11,10,52.2,Desktop,Basic,Beauty,West,485.54,Yes
58,79672.01,18,13.39,8,34,50.8,Tablet,Silver,Home,South,473.95,No
19,81532.13,9,11.66,13,16,16.3,Mobile,Platinum,Electronics,East,850.77,Yes
29,76078.03,6,24.05,10,32,18.7,Desktop,Basic,Home,North,682.97,Yes
57,38919.15,16,16.74,8,36,5.4,Mobile,Basic,Sports,South,423.27,No
20,19177.72,9,17.63,6,8,27.7,Mobile,Basic,Beauty,West,312.71,No
59,71195.78,13,9.34,6,38,17.6,Mobile,Gold,Fashion,South,372.61,No
31,59620.93,7,9.0,10,25,24.0,Desktop,Gold,Beauty,North,413.61,No
62,80106.49,16,14.18,6,29,29.8,Mobile,Silver,Fashion,North,335.55,No
32,85442.98,16,14.87,7,31,38.8,Mobile,Basic,Home,West,426.91,No
38,73041.31,16,4.72,3,6,31.4,Desktop,Gold,Home,West,311.14,No
49,86722.93,12,13.1,7,30,31.0,Mobile,Silver,Fashion,North,367.57,No
24,75042.65,10,14.07,8,8,43.9,Desktop,Basic,Fashion,West,406.09,No
44,81661.42,8,12.92,3,11,34.0,Tablet,Basic,Sports,West,318.53,No
42,54497.19,9,9.93,8,4,61.2,Mobile,Silver,Fashion,South,350.73,No
55,66048.55,17,11.3,5,7,34.0,Mobile,Basic,Beauty,East,268.84,No
65,74329.07,15,13.12,7,40,87.8,Tablet,Platinum,Home,South,345.34,No
49,88051.63,12,14.45,12,13,15.8,Mobile,Silver,Home,North,575.48,Yes
37,61337.69,9,17.02,10,15,27.3,Mobile,Basic,Electronics,East,468.81,No
37,81465.68,15,19.4,12,19,21.2,Tablet,Silver,Electronics,North,747.24,Yes
38,64151.55,16,12.53,10,29,39.9,Desktop,Silver,Electronics,South,549.83,No
57,67414.07,13,11.72,5,23,15.8,Desktop,Basic,Home,South,367.21,No
33,88249.42,15,16.19,8,21,10.5,Mobile,Silver,Sports,North,484.64,No
26,26152.67,13,17.05,6,34,18.3,Tablet,Basic,Sports,West,368.8,No
34,41477.61,12,11.83,10,20,11.1,Desktop,Basic,Electronics,East,386.64,No
19,37391.92,17,17.95,12,31,30.1,Desktop,Gold,Fashion,West,641.99,Yes
23,18660.45,12,18.9,15,37,38.8,Desktop,Silver,Electronics,East,734.49,Yes
22,55078.18,13,20.46,8,27,9.1,Desktop,Basic,Sports,North,460.35,No
55,86487.55,14,22.89,5,1,26.1,Mobile,Basic,Electronics,South,621.1,Yes
52,63732.55,6,9.67,8,10,66.5,Mobile,Silver,Electronics,South,359.68,No
51,74351.38,10,14.07,7,25,79.0,Mobile,Basic,Home,West,386.7,No
40,93962.78,14,14.06,5,19,55.7,Mobile,Platinum,Home,North,516.55,Yes
52,99209.09,18,13.51,16,11,3.4,Mobile,Silver,Electronics,East,851.23,Yes
25,68478.97,6,10.75,4,13,36.4,Mobile,Gold,Home,North,384.54,No
61,99778.89,14,6.57,7,3,71.5,Desktop,Basic,Electronics,West,438.78,No
42,72026.79,15,14.46,7,9,24.2,Mobile,Gold,Electronics,East,564.97,Yes
63,51577.24,8,10.16,7,32,13.0,Mobile,Basic,Electronics,South,320.28,Yes
25,56923.19,12,14.43,5,0,68.1,Mobile,Basic,Fashion,South,297.13,No
41,37428.2,11,10.03,7,34,74.6,Mobile,Basic,Sports,South,254.52,No
51,50461.06,6,8.5,5,13,33.8,Desktop,Basic,Home,North,220.97,No
41,62123.63,10,15.17,11,33,13.1,Mobile,Platinum,Beauty,East,594.29,Yes
39,87678.87,10,14.75,7,10,8.1,Mobile,Gold,Fashion,West,455.75,Yes
25,107856.94,19,16.9,9,33,42.6,Desktop,Silver,Beauty,North,560.97,Yes
